   20   20
    nn     x     y    ss   oprev dprev   odist     ddist     oarea     darea  tareadiff
     1     1     1   3.0    23    22     19582     20699      3310      -220       900
     2     2     1   4.0    23    43     18915     20237      3125       -40       895
     3     3     1   5.0    24    23     18227     20126      2950       140       900
     4     4     1   6.0    45    24     17766     20222      2770       290       870
     5     5     1   4.0    26    25     16901     19777      2615       455       880
     6     6     1   6.0    28    45     15950     20402      2460       635       905
     7     7     1   6.0    28    26     14799     21224      2275       815       900
     8     8     1   6.0     9    28     13625     21709      2280       690       780
     9     9     1   5.0    10    48     12250     22027      2090       865       765
    10    10     1   5.0    11    30     11000     22404      1900       475       185
    11    11     1   4.0    12    31      9875     22043      1710       645       165
    12    12     1   4.0    13    32      8875     21984      1520       805       135
    13    13     1   4.0    14    33      7875     22200      1330       970       110
    14    14     1   4.0    15    53      6875     22291      1140      1145        95
    15    15     1   4.0    16    34      5875     22679       950      1325        85
    16    16     1   5.0    17    34      4750     23662       760      1510        80
    17    17     1   4.0    18    16      3625     24787       570      1700        80
    18    18     1   6.0    19    17      2375     26037       380      1890        80
    19    19     1   4.0    20    38      1125     27176       190      2005         5
    20    20     1   5.0     0    38         0     28230         0      2190         0
    21     1     2   4.0    22    41     19486     19890      3300      -130       980
    22     2     2   4.0    23    43     18486     19446      3120       -35       895
    23     3     2   4.0    45    43     17486     19001      2940       140       890
    24     4     2   4.0    45    44     16621     18972      2765       290       865
    25     5     2   4.0    47    45     16155     18777      2600       455       865
    26     6     2   5.0    48    45     15295     19280      2430       630       870
    27     7     2   5.0    28    66     14141     20084      2270       660       740
    28     8     2   4.0    50    67     13016     20459      2090       690       590
    29     9     2   4.0    51    48     12155     21066      1920       860       590
    30    10     2   5.0    31    71     11140     21154      1810       475        95
    31    11     2   5.0    32    51      9890     20918      1630       645        85
    32    12     2   4.0    33    52      8765     20984      1450       805        65
    33    13     2   4.0    34    72      7765     21200      1270       970        50
    34    14     2   3.0    35    53      6890     21426      1090      1140        40
    35    15     2   4.0    36    53      6015     22291       910      1315        35
    36    16     2   5.0    37    35      4890     23416       730      1495        35
    37    17     2   5.0    38    36      3640     24666       550      1675        35
    38    18     2   4.0    20    56      2515     25715       370      1820         0
    39    19     2   5.0    20    38      1767     26840       185      2000         5
    40    20     2   6.0    20    39      1375     28215         0      2180        10
    41     1     3   5.0    42    61     19905     18765      3270      -130       950
    42     2     3   6.0    43    63     18530     18768      3100       -25       885
    43     3     3   4.0    44    63     17280     18001      2930       140       880
    44     4     3   4.0    45    64     16280     17972      2760       290       860
    45     5     3   2.0    46    64     15530     18027      2590       455       855
    46     6     3   4.0    47    85     14780     18709      2420       530       760
    47     7     3   4.0    48    86     13780     19084      2250       610       670
    48     8     3   4.0    49    67     12780     19652      2080       685       575
    49     9     3   4.0    50    88     11780     20523      1910       805       525
    50    10     3   4.0    51    71     10780     20186      1740       480        30
    51    11     3   4.0    52    71      9780     19793      1570       645        25
    52    12     3   4.0    53    91      8780     19984      1400       805        15
    53    13     3   3.0    54    72      7905     20335      1230       965         5
    54    14     3   4.0    55    72      7030     21200      1060      1130         0
    55    15     3   4.0    56    54      6030     22200       890      1300         0
    56    16     3   4.0    38    55      5030     23200       720      1470         0
    57    17     3   5.0    38    56      4121     24325       545      1640         5
    58    18     3   5.0    39    57      3519     25575       360      1810        20
    59    19     3   5.0    20    58      2934     26825       180      1980        30
    60    20     3   5.0    40    59      2750     28075         0      2150        40
    61     1     4   6.0    62    81     20085     17390      3235      -130       915
    62     2     4   6.0    63    82     18585     17765      3075        10       895
    63     3     4   4.0    64    83     17335     17001      2915       140       865
    64     4     4   3.0    45   103     16460     17097      2755       290       855
    65     5     4   4.0    47   104     16016     17473      2580       400       790
    66     6     4   4.0    48   105     15016     17709      2410       490       710
    67     7     4   4.0    49   106     14155     18223      2240       520       570
    68     8     4   5.0    69   107     13221     18969      2040       650       500
    69     9     4   5.0    70    88     11971     19614      1880       800       490
    70    10     4   5.0    71    90     10721     19227      1720       505        35
    71    11     4   3.0    53    91      9721     18918      1560       645        15
    72    12     4   3.0    54    91      8986     19244      1390       800         0
    73    13     4   4.0    55    72      8266     20119      1220       960        10
    74    14     4   4.0    56    92      7266     21077      1050      1095        45
    75    15     4   4.0    56    74      6444     22077       885      1255        50
    76    16     4   4.0    57    75      5727     23077       710      1415        65
    77    17     4   6.0    38    76      5310     24327       540      1575        75
    78    18     4   5.0    39    77      4562     25702       355      1735       100
    79    19     4   6.0    59    98      4309     27034       180      1655       355
    80    20     4   5.0    60    99      4000     27901         0      1800       390
    81     1     5   4.0    82   122     20085     16140      3215      -130       895
    82     2     5   6.0    64   102     18835     16265      3065        10       885
    83     3     5   4.0    64   103     17713     16001      2910       140       860
    84     4     5   4.0    85   123     17052     16237      2600       270       680
    85     5     5   4.0    86   124     16052     16473      2450       370       630
    86     6     5   4.0    87   125     15052     16848      2300       450       560
    87     7     5   4.0    88   126     14052     17401      2150       505       465
    88     8     5   4.0    89   107     13052     18008      2000       645       455
    89     9     5   5.0    90   109     11927     18431      1850       410        70
    90    10     5   4.0    72   110     10802     18102      1700       505        15
    91    11     5   3.0    72   130     10062     18168      1545       645         0
    92    12     5   4.0    74   111      9502     18841      1360       785        45
    93    13     5   4.0    74   111      8711     19679      1205       930        55
    94    14     5   6.0    75    93      8196     20929      1040      1080        70
    95    15     5   5.0    76    94      7333     22304       865      1230        95
    96    16     5   6.0    76   115      6977     23217       710      1245       235
    97    17     5   6.0    78   116      6506     24400       510      1365       315
    98    18     5   5.0    78   117      5812     25106       355      1500       335
    99    19     5   5.0    60   117      5684     26118       160      1645       385
   100    20     5   5.0    80    99      5250     27368         0      1795       395
   101     1     6   4.0    83   142     20368     15140      3200      -120       890
   102     2     6   5.0   103   122     19283     14890      2815        10       635
   103     3     6   4.0   104   142     18158     15001      2675       140       625
   104     4     6   4.0   105   143     17158     15237      2535       250       595
   105     5     6   4.0   106   144     16158     15473      2395       340       545
   106     6     6   4.0   107   145     15158     15987      2255       370       435
   107     7     6   4.0   108   126     14158     16594      2115       500       425
   108     8     6   4.0   109   147     13158     17169      1975       405       190
   109     9     6   4.0    91   129     12158     17306      1835       410        55
   110    10     6   4.0    91   130     11315     17102      1690       505         5
   111    11     6   4.0    92   130     10900     17443      1505       640        45
   112    12     6   4.0    93   130     10156     18308      1350       775        65
   113    13     6   6.0    93   112      9961     19558      1205       915        70
   114    14     6   6.0    95   133      9277     20773      1010       985       195
   115    15     6   5.0    76   134      8522     21273       860      1100       230
   116    16     6   6.0    96   135      8477     22295       710      1220       260
   117    17     6   5.0    78   135      7496     23323       505      1355       330
   118    18     6   5.0    98   136      7062     24448       355      1485       350
   119    19     6   6.0    80   118      6934     25823       150      1625       415
   120    20     6   6.0   100   138      6625     27118         0      1305       885
   121     1     7   5.0   122   162     20519     14280      2935      -110       635
   122     2     7   4.0   104   142     19394     13765      2805        10       625
   123     3     7   4.0   105   162     18394     14001      2665       130       605
   124     4     7   4.0   106   163     17394     14237      2525       230       565
   125     5     7   4.0   107   164     16394     14612      2385       310       505
   126     6     7   4.0   108   145     15533     15165      2245       365       420
   127     7     7   5.0   109   166     14533     15904      2105       285       200
   128     8     7   4.0   110   167     13551     16199      1960       385       155
   129     9     7   4.0   130   149     12628     16306      1815       410        35
   130    10     7   2.0    91   169     11878     16352      1685       505         0
   131    11     7   4.0   112   130     11570     17102      1485       635        70
   132    12     7   4.0   112   151     11156     17884      1350       725       115
   133    13     7   5.0   114   151     11205     18845      1145       850       195
   134    14     7   4.0    95   152     10128     19667      1005       965       220
   135    15     7   4.0   115   153      9647     20528       860      1085       245
   136    16     7   5.0   117   135      9279     21653       640      1215       335
   137    17     7   5.0    98   136      8607     22903       495      1345       350
   138    18     7   5.0   118   157      8312     23904       355      1035       800
   139    19     7   6.0   119   157      8434     25093       150      1160       880
   140    20     7   5.0   120   158      8000     26333         0      1275       915
   141     1     8   5.0   142   161     20755     13126      2895       -90       615
